,Pozo,zona,tope,base
0,well2,1,7743,7802
1,well2,2,7635,7733
2,well2,3,7572,7610
3,well10,1,8687,8713
4,well10,2,8616,8624
5,well10,3,8542,8602
6,well5,1,8665,8737
7,well5,2,8599,8649
8,well5,3,8538,8558
9,well5,4,8455,8529
10,well1,1,7741,7791
11,well1,2,7643,7726
12,well1,3,7607,7629
13,well1,4,7557,7579
14,well9,1,7545,7639
15,well9,2,7505,7534
16,well9,3,7420,7487
17,well9,4,7391,7407
18,well8,1,7900,7978
19,well8,2,7825,7890
20,well8,3,7779,7802
21,well8,4,7703,7769
22,well8,5,7626,7679
23,well4,1,7707,7730
24,well4,2,7647,7700
25,well4,3,7622,7635
26,well4,4,7594,7613
27,well4,5,7564,7576
28,well6,1,7941,8023
29,well6,2,7865,7924
30,well6,3,7802,7850
31,well7,1,8253,8460
32,well7,2,7885,7971
33,well7,3,7845,7861
34,well7,4,7807,7834
35,well7,5,7761,7785
80,well3,1,8043,8211
81,well3,2,7983,8026
82,well3,3,7935,7971
83,well3,4,7889,7916
